Bank_Code,Bank_Name,Branch_Code,Branch_Name,Branch_Address,City,Zip_Code,POB,Telephone,Fax,Free_Tel,Handicap_Access,day_closed,Branch_Type,Open_Date,Close_Date,Merge_Bank,Merge_Branch,X_Coordinate,Y_Coordinate
14,"בנק אוצר החייל בע""מ",371,רמת דוד,מחנה יהודית 0 ,רמת דוד,3658500,,04-6440424,,,כן,יום ו,מיוחד,01/12/1968,,31001,,32.68,35.20
14,"בנק אוצר החייל בע""מ",350,"מת""מ אומגה","נחום חת 1 א""ת מת""מ - טירת הכרמל",טירת כרמל,3900000,15034,04-8134200,,,כן,יום א,מיוחד,15/02/1998,,31001,,32.78,34.96
14,"בנק אוצר החייל בע""מ",397,גדרה,בן גוריון 105 ,גדרה,7051846,114,08-8519200,,,כן,יום א,מיוחד,01/07/2007,,31001,,31.80,34.78
14,"בנק אוצר החייל בע""מ",366,תל נוף,"בסיס צבאי, מחנה תל-נוף 0 ",גדרה,7071000,3500,08-8596995,,,כן,יום ו,מיוחד,31/01/1965,,31001,,31.82,34.82
14,"בנק אוצר החייל בע""מ",377,אילת,שד' התמרים 11 שדרות התמרים 11,אילת,8801409,,08-6300200,,,כן,יום ו,מחלקה,01/08/1991,,31001,,29.56,34.95
14,"בנק אוצר החייל בע""מ",477,עובדה,"מחנה יוכבד 0 ממ""ס הקניון האדום, אילת",אילת,8800000,,08-6359377,,,כן,יום ו,מיוחד,01/02/1949,,31001,,29.94,34.96
14,"בנק אוצר החייל בע""מ",311,פרדס חנה,דרך הבנים 17 דרך הבנים 17 מרכז מסחרי,פרדס חנה-כרכור,3707368,,04-6145200,,,כן,יום א,מיוחד,15/03/2016,,31001,,32.48,34.98
14,"בנק אוצר החייל בע""מ",317,פתח תקוה - כפר-גנים,העצמאות 65 קניון כפר גנים,פתח תקווה,4937999,,03-9780200,,,כן,יום א,מיוחד,16/07/2006,,31001,,32.07,34.87
14,"בנק אוצר החייל בע""מ",395,רחובות,הרצל 182 ,רחובות,7626718,,08-9585200,,,כן,יום ו,מחלקה,01/07/2008,,31001,,31.90,34.81
14,"בנק אוצר החייל בע""מ",379,פלמחים,"מחנה הילה, ד""נ גן שורק 0 ",פלמחים,7687800,,08-9436636,,,כן,יום ו,מיוחד,01/02/1949,,31001,,31.88,34.68
14,"בנק אוצר החייל בע""מ",360,קרית שמונה אוצר החייל,שד' תל חי פינת סלינגר 1 ,קריית שמונה,1103215,,04-6836200,,,כן,יום ו,מחלקה,15/10/2021,,,,33.21,34.57
14,"בנק אוצר החייל בע""מ",315,מודיעין,"ערער 14 ערער פינת הפיקוס, מודיעין",מודיעין-מכבים-רעות*,7177076,,08-8615200,,,כן,יום א,מחלקה,09/05/2005,,31001,,31.90,35.01
14,"בנק אוצר החייל בע""מ",345,רעות,מרכז מסחרי רעות 0 ד.נ. מודיעין,מודיעין-מכבים-רעות*,7190800,1017,08-9269666,,,כן,יום א,רגיל,15/09/1991,,31001,,31.89,35.02
14,"בנק אוצר החייל בע""מ",381,רמון,"מחנה טלי, ד.נ. נגב 0 ","הר הנגב הצפוני מ""א 48",8493500,,08-6571325,,,כן,יום ו,מיוחד,01/02/1949,,31001,,30.78,34.67
14,"בנק אוצר החייל בע""מ",335,"כפר סבא הירוקה אוצה""ח",רפפורט 1 ,כפר סבא,4465142,,09-7784200,,,כן,יום א,מחלקה,01/03/2021,,,,32.19,34.89
14,"בנק אוצר החייל בע""מ",380,כפר סבא,רוטשילד 56 ,כפר סבא,4420122,,09-7757600,,,כן,יום ו,מחלקה,01/02/1949,,31001,,32.18,34.91
14,"בנק אוצר החייל בע""מ",373,אשקלון אוצר החייל,רמז 25 מרכז מסחרי חדש,אשקלון,7853305,,08-6776200,,,כן,יום ו,מחלקה,01/11/2021,,,,31.67,34.58
14,"בנק אוצר החייל בע""מ",349,אשקלון,שד ירושלים פינת מבצע קדש  ,אשקלון,7861785,450,08-6799200,,,כן,יום א,רגיל,10/10/1993,,31001,,31.69,34.58
14,"בנק אוצר החייל בע""מ",361,החשמונאים,החשמונאים 84 ,תל אביב -יפו,6713203,,03-5635353,,,כן,יום ו,רגיל,01/02/1949,,31001,,32.07,34.78
14,"בנק אוצר החייל בע""מ",382,בת ים חולון,יוספטל 92 קניון בת ים,בת ים,5964101,,03-5552200,,,כן,יום ו,מחלקה,09/02/1983,,31001,,32.02,34.76
14,"בנק אוצר החייל בע""מ",310,חדרה,הלל יפה 22 ,חדרה,3842401,315,04-6240200,,*3009,כן,יום ו,מחלקה,08/12/2020,,,,32.44,34.92
14,"בנק אוצר החייל בע""מ",324,טבריה,ככר רבין (רסקו) 1 ,טבריה,1420701,28,04-6700200,,,כן,יום ו,מחלקה,15/12/2020,,,,32.79,35.54
14,"בנק אוצר החייל בע""מ",322,גבעתיים,הורודצקי 10 ,תל אביב -יפו,,,03-7334778,,,כן,יום ו,מיוחד,20/07/2001,,31001,,32.06,34.80
14,"בנק אוצר החייל בע""מ",365,צהלה,"צה""ל 71 ",תל אביב -יפו,6993432,,03-7685200,,,כן,יום א,רגיל,01/02/1949,,31001,,32.12,34.83
14,"בנק אוצר החייל בע""מ",312,יבנה,הדוגית 16 הדוגית 16 יבנה,יבנה,8103827,,08-6329200,,,כן,יום א,מיוחד,08/03/2016,,31001,,31.87,34.74
14,"בנק אוצר החייל בע""מ",399,מטה אוצר החייל,שד' רוטשילד 42 ,תל אביב -יפו,6688310,,03-5196111,,*3009,כן,יום ו,יחידת ביצוע,01/01/1992,,31001,,32.06,34.77
14,"בנק אוצר החייל בע""מ",321,המרכז למימון מתמחה,שד' רוטשילד 42 ,תל אביב -יפו,6688310,,03-5196111,,,כן,,יחידת ביצוע,13/11/2006,,31001,,32.06,34.77
14,"בנק אוצר החייל בע""מ",357,הסניף המרכזי,שד' רוטשילד 42 ,תל אביב -יפו,6688310,29036,03-7556111,,,כן,יום ו,מחלקה,01/06/2003,,31001,,32.09,34.80
14,"בנק אוצר החייל בע""מ",378,הקריה,"קפלן, הקריה 27 ",תל אביב -יפו,,,03-6084200,,,כן,יום ו,מיוחד,31/12/1980,,31001,,32.07,34.79
14,"בנק אוצר החייל בע""מ",332,קרית ההדרכה,"עיר הבהד""ים 0 ",ירוחם,8413302,,08-6695200,,,כן,יום ו,מיוחד,02/07/2017,,31001,,31.06,34.85
14,"בנק אוצר החייל בע""מ",374,לוד תעשיה אוירית,"מפעלי התעש""א נתב""ג 0 ",נמל תעופה בן-גוריון,,,03-9778200,,,כן,,מיוחד,01/02/1949,28/11/2019,31001,,31.951032,34.888080
14,"בנק אוצר החייל בע""מ",343,אריאל,אורי בר-און 2 ,אריאל,4070403,11815,03-9371200,,,כן,יום א,רגיל,25/06/1986,,31001,,32.10,35.18
14,"בנק אוצר החייל בע""מ",363,באר שבע,בן צבי 9 ,באר שבע,8489327,290,08-6299444,,,כן,יום א,מחלקה,01/02/1949,,31001,,31.24,34.80
11,"בנק דיסקונט לישראל בע""מ",398,תל-השומר,"בי""ח שיבא 1 ",רמת גן,5262657,,076-8051240,,,כן,יום ו,רגיל,01/01/2008,,,,34.8423,32.0483
11,"בנק דיסקונט לישראל בע""מ",102,רמת חן,גולני 29 ,רמת גן,5222443,,076-8051370,,,כן,יום ו,רגיל,01/02/1949,,,,34.8146,32.0573
11,"בנק דיסקונט לישראל בע""מ",123,ככר היהלום,אבא הלל סילבר 12 ,רמת גן,5250606,,076-8053678,,,כן,יום ו,רגיל,01/02/1949,,,,34.8039,32.0848
11,"בנק דיסקונט לישראל בע""מ",187,הוד השרון,הבנים 14 ,הוד השרון,4526821,,076-8051280,,,כן,יום ו,רגיל,24/07/1994,,,,34.8912,32.1559
11,"בנק דיסקונט לישראל בע""מ",444,המרכז לבנקאות פרטית-חיפה והצפון,שד' מוריה 66 ,חיפה,3461301,34040,,,,לא,יום א,מיוחד,15/02/2011,,,,34.9846,32.7958
11,"בנק דיסקונט לישראל בע""מ",76,מרכז הכרמל,שדרות הנשיא 124 ,חיפה,3463305,,076-8052350,,,לא,יום ו,רגיל,01/02/1949,,,,34.9873,32.8045
11,"בנק דיסקונט לישראל בע""מ",202,אגף היעוץ המשפטי,יהודה הלוי 17 ,תל אביב -יפו,6513709,,,,,לא,,יחידת ביצוע,01/01/1992,,,,34.7695,32.0615
11,"בנק דיסקונט לישראל בע""מ",6,מדור פיתוח במחלקת חברות,יהודה הלוי 27 ,תל אביב -יפו,6513607,,,,,לא,,יחידת ביצוע,01/01/1995,,,,34.7710,32.0618
11,"בנק דיסקונט לישראל בע""מ",200,מחלקת ביצוע,הרצל 160 ,תל אביב -יפו,6810122,,,,,לא,,יחידת ביצוע,01/01/1992,,,,34.7690,32.0495
11,"בנק דיסקונט לישראל בע""מ",213,אגף ניירות ערך,יהודה הלוי 38 ,תל אביב -יפו,6513620,,,,,כן,,יחידת ביצוע,01/02/1949,,,,34.7718,32.0616
11,"בנק דיסקונט לישראל בע""מ",201,מערך החשבות,יהודה הלוי 23 ,תל אביב -יפו,6513601,,,,,לא,,יחידת ביצוע,01/01/1992,,,,34.7704,32.0616
11,"בנק דיסקונט לישראל בע""מ",212,אגף נכסים ובינוי,דרך מנחם בגין 52 בית סונול,תל אביב -יפו,6713701,,,,,לא,,יחידת ביצוע,01/01/1992,,,,34.7802,32.0635
11,"בנק דיסקונט לישראל בע""מ",305,ילמ,יהודה הלוי 23 ,תל אביב -יפו,6513601,,,,,לא,,יחידת ביצוע,03/01/1999,,,,34.7704,32.0616
11,"בנק דיסקונט לישראל בע""מ",232,בנקאות פרטית תל אביב,"דרך מנחם בגין 132 מגדלי עזריאלי, בניין מרובע קומה 33",תל אביב -יפו,6701101,,,,,כן,יום א,מיוחד,16/08/1998,,,,34.7911,32.0746
11,"בנק דיסקונט לישראל בע""מ",568,המרכז לבנקאות פרטית תל אביב,"דרך מנחם בגין 132 מגדלי עזריאלי, בניין מרובע קומה 33",תל אביב -יפו,6701101,,,,,לא,יום א,מיוחד,16/08/1998,,,,34.7911,32.0746
11,"בנק דיסקונט לישראל בע""מ",130,מאפו,בן יהודה 29 ,תל אביב -יפו,6357713,,,,,לא,יום א,מיוחד,01/02/1984,,,,34.7680,32.0767
11,"בנק דיסקונט לישראל בע""מ",100,שדרות רוטשילד,שדרות רוטשילד 76 ,תל אביב -יפו,6688107,,076-8053740,,,לא,יום ו,מיוחד,01/02/1949,,,,34.7694,32.0626
11,"בנק דיסקונט לישראל בע""מ",17,דרך שלמה,דרך שלמה 74 ,תל אביב -יפו,6653101,,076-8053935,,,כן,יום ו,מיוחד,01/02/1949,10/03/2021,11001,26,34.7724,32.0547
11,"בנק דיסקונט לישראל בע""מ",49,חולון,סוקולוב 68 ,חולון,5833002,,076-8050778,,,כן,יום ו,רגיל,01/02/1949,,,,34.7768,32.0225
11,"בנק דיסקונט לישראל בע""מ",103,קריית אילון,פנחס אילון 13 ,חולון,5840219,,076-8050575,,,כן,יום ו,רגיל,01/02/1949,,,,34.7781,32.0086
11,"בנק דיסקונט לישראל בע""מ",144,רמת אילן,אורנים 1 מרכז מסחרי רמת אילן,גבעת שמואל,5405201,,076-8050394,,,לא,יום א,רגיל,01/02/1949,22/04/2021,11001,136,34.8456,32.0677
11,"בנק דיסקונט לישראל בע""מ",92,רעננה,אחוזה 119 ,רעננה,4337308,,076-8051780,,,כן,יום ו,רגיל,01/02/1949,,,,34.8745,32.1803
11,"בנק דיסקונט לישראל בע""מ",94,באר שבע,שד' דוד טוביהו 125 ,באר שבע,8420838,,076-8053040,,,כן,יום א,רגיל,01/02/1949,,,,34.7887,31.2451
11,"בנק דיסקונט לישראל בע""מ",517,לב העיר באר שבע,הנריאטה סולד 8 ,באר שבע,8489432,,076-8053144,,,כן,יום ו,רגיל,24/09/1999,,,,34.80,31.2469
11,"בנק דיסקונט לישראל בע""מ",97,נהריה,שדרות הגעתון 29 ,נהרייה,2244025,,076-8052310,,,לא,יום ו,רגיל,01/02/1949,,,,35.0941,33.0063
11,"בנק דיסקונט לישראל בע""מ",95,זכרון יעקב,הדגן 2 ,זכרון יעקב,3095067,,076-8052481,,,כן,יום ו,רגיל,01/02/1949,,,,34.9549,32.5690
11,"בנק דיסקונט לישראל בע""מ",383,מרכז עסקים צפון,דרך עכו 194 ,קריית ביאליק,2723211,,,,,כן,יום ו,מיוחד,01/09/2005,,,,35.0889,32.8422
11,"בנק דיסקונט לישראל בע""מ",443,קרית ביאליק,דרך עכו 194 הקריון,קריית ביאליק,2723211,,076-8052090,,,לא,יום א,רגיל,03/05/2001,,,,35.0889,32.8422
11,"בנק דיסקונט לישראל בע""מ",488,מרכז השקעות השפלה,משה לוי 11 בניין UMI קומה 11,ראשון לציון,7565828,,,,,לא,יום ו,מיוחד,16/03/2001,,,,34.7743,31.9893
11,"בנק דיסקונט לישראל בע""מ",535,הסניף הישיר,"האצ""ל 53 ",ראשון לציון,7570647,,,,,לא,יום ו,מיוחד,01/11/1995,,,,34.7597,31.9909
11,"בנק דיסקונט לישראל בע""מ",188,הקניונים,"סחרוב 18 א.ת מערב ראשל""צ",ראשון לציון,7570720,,076-8050830,,,כן,יום ו,מיוחד,07/12/1993,,,,34.7714,31.9909
11,"בנק דיסקונט לישראל בע""מ",55,ראשון לציון,הרצל 87 ,ראשון לציון,7526659,,076-8050511,,,כן,יום א,רגיל,01/02/1949,,,,34.8032,31.9639
11,"בנק דיסקונט לישראל בע""מ",396,אסף הרופא,קניון אסף סנטר 1 ,ראשון לציון,7030001,,076-8051012,,,כן,יום ו,רגיל,09/12/2007,,,,34.8402,31.9662
11,"בנק דיסקונט לישראל בע""מ",506,מערב ראשון לציון,מורשת ישראל 15 נווה שקמה,ראשון לציון,7575603,,076-8050690,,,כן,יום ו,רגיל,28/12/2000,,,,34.7742,31.9753
11,"בנק דיסקונט לישראל בע""מ",145,גבעתיים,ויצמן 19 ,גבעתיים,5339108,,076-8051720,,,לא,יום ו,רגיל,01/02/1949,,,,34.8087,32.0743
11,"בנק דיסקונט לישראל בע""מ",157,התעשיה חולון,הנחושת 4 ,חולון,5885953,,076-8050810,,,כן,יום ו,מיוחד,03/12/1991,,,,34.7995,32.0168
